Company,quantity
LIXC3,11993000
LIXC4,11993000
LJQQ3,187290000
LLIS3,68851000
LOGG3,102159000
LOGN3,105841000
LPSB3,147555000
LREN3,988780000
LREN4,988780000
LUPA3,29199000
LUXM3,5196000
LUXM4,5196000
LVTC3,64663100
LWSA3,590247000
MAGG3,50040000
MAGS3,42545300000
MAPT3,919000
MAPT4,919000
MARI3,184503000
MATD3,382330000
MBLY3,106490000
MDIA3,339000000
MDNE3,84909000
MEAL3,286370000
MEDI3,69740000
MEGA3,555114000
MELK3,207969000
MEND5,10309000
MEND6,10309000
MERC3,18010000
MERC4,18010000
MGEL3,5783210
MGEL4,5783210
MGLU3,6748930000
MILK33,42872000
MILS3,252169000
MLAS3,820539000
MLFT4,1848760000
MLPA12,4692000
MLPA3,4692000
MLPA4,4692000
MMAQ3,45000
MMAQ4,45000
MMXM3,6488000
MNDL3,2480000
MNDL4,2480000
MNPR3,7100000
MNPR4,7100000
MNSA3,0
MNSA4,0
MOAR3,12251000
MODL11,704200000
MODL3,704200000
MODL4,704200000
MOSI3,126596000
MOVI3,362302000
MPLU3,162247000
MRFG3,691370000
MRSA3B,340000000
MRSA5B,340000000
MRSA6B,340000000
MRSL3,112254000
MRSL4,112254000
MRVE3,483233000
MSAN3,0
MSAN4,0
MSPA3,6405000
MSPA4,6405000
MTBR3,1502790000
MTBR4,1502790000
MTIG3,241000
MTIG4,241000
MTRE3,105775000
MTSA4,9137260
MULT3,600761000
MWET3,2058000
MWET4,2058000
MYPK3,153720000
MYPK4,153720000
NAFG3,13579000
NAFG4,13579000
NATU3,920205000
NEOE3,1213800000
NETC3,374722000
NETC4,374722000
NGRD3,238662000
NINJ3,50224600
NORD3,6621000
NTCO3,1379590000
NUTR3,128000
ODER3,11287000
ODER4,11287000
ODPV3,531295000
OFSA3,53949000
OGXP3,32360200
OIBR3,6603040000
OIBR4,6603040000
OMGE3,200274000
ONCO3,495358000
OPCT3,199960000
ORVR3,71450000
OSAO4,12425000
OSXB3,3148000
PALF11,880653000
PALF3,880653000
PALF5,880653000
PARD3,130979000
PATI3,23932000
PATI4,23932000
PCAR3,269389000
PCAR4,269389000
PCAR5,269389000
PDGR3,56133000
PDTC3,78450000
PEAB3,12850000
PEAB4,12850000
PEFX3,35190000
PEFX5,35190000
PETR3,13044500000
PETR4,13044500000
PETZ3,459940000
PFRM3,123813000
PGMN3,443781000
PINE3,148158000
PINE4,148158000
PITI4,2320310000
PLAS3,12425000
PLDN4,645253000
PLIM4,374722000
PLPL3,204256000
PLTO5,66152500000
PLTO6,66152500000
PMAM3,43404000
PMAM4,43404000
PMET3,72410000000
PMET5,72410000000
PMET6,72410000000
PNOR5,46102000
PNOR6,46102000
PNVL3,150377000
PNVL4,150377000
POMO3,946893000
POMO4,946893000
POPR4,0
PORT3,73022000
POSI3,141800000
POWE3,89654900
PQUN3,104753000
PQUN4,104753000
PRBC3,3257760000
PRBC4,3257760000
PRGA4,812473000
PRIO3,882646000
PRML3,376017000
PRNR3,38908000
PRTX3,992456000
PRVI3,80185000
PSSA3,646586000
PTBL3,147530000
PTBL4,147530000
PTIP3,0
PTIP4,0
PTNT3,48046500
PTNT4,48046500
PTPA3,17887000
PTPA4,17887000
PTQS4,19800700000
QUAL3,284014000
RADL3,1651930000
RAIA3,62015000
RAIL3,1854160000
RAIZ4,10352500000
RANI3,256720000
RANI4,256720000
RAPT3,329331000
RAPT4,329331000
RCSL3,75823000
RCSL4,75823000
RCTB31,67865000
RCTB33,67865000
RCTB41,67865000
RCTB42,67865000
